"date_run","format","log_txt"
"19997","Modern","Archetype parser : Modern: 8.28 sec elapsed"
"19997","Modern","Archetype parser : Modern: 8.06 sec elapsed"
"19997","Modern","Archetype parser : Modern: 8.18 sec elapsed"
"19997","Modern","Archetype parser : Modern: 2030.92 sec elapsed"
"19997","Modern","Archetype parser : Modern: 146.75 sec elapsed"
"19997","Modern","Modern: 2758.13 sec elapsed"
"19997","Legacy","Archetype parser : Legacy: 4.6 sec elapsed"
"19997","Legacy","Archetype parser : Legacy: 535.45 sec elapsed"
"19997","Legacy","Archetype parser : Legacy: 37.51 sec elapsed"
"19997","Legacy","Legacy: 744.55 sec elapsed"
"19997","Pauper","Archetype parser : Pauper: 3.16 sec elapsed"
"19997","Pauper","Archetype parser : Pauper: 426.42 sec elapsed"
"19997","Pauper","Archetype parser : Pauper: 36.63 sec elapsed"
"19997","Pauper","Pauper: 931.75 sec elapsed"
"19997","Pioneer","Archetype parser : Pioneer: 5.02 sec elapsed"
"19997","Pioneer","Archetype parser : Pioneer: 848.46 sec elapsed"
"19997","Pioneer","Archetype parser : Pioneer: 67.55 sec elapsed"
"19997","Pioneer","Pioneer: 1306.75 sec elapsed"
"19997","Vintage","Archetype parser : Vintage: 3.61 sec elapsed"
"19997","Vintage","Archetype parser : Vintage: 256.45 sec elapsed"
"19997","Vintage","Archetype parser : Vintage: 17.64 sec elapsed"
"19997","Vintage","Vintage: 383.03 sec elapsed"
"19997","Vintage","total: 6190.37 sec elapsed"
"2024-10-03","Modern","Archetype parser : Modern: 11.14 sec elapsed"
"2024-10-03","Modern","Archetype parser : Modern: 1866.76 sec elapsed"
"2024-10-03","Modern","Archetype parser : Modern: 133.58 sec elapsed"
"2024-10-03","Modern","Modern: 2600.01 sec elapsed"
"2024-10-03","Legacy","Archetype parser : Legacy: 6.38 sec elapsed"
"2024-10-03","Legacy","Archetype parser : Legacy: 584.95 sec elapsed"
"2024-10-03","Legacy","Archetype parser : Legacy: 46.98 sec elapsed"
"2024-10-03","Legacy","Legacy: 808.16 sec elapsed"
